linkedin_url,headline,City,State,Country,Job_Title,Employer,Grad_Year,Degree,Degree_Program,Degree_Major,Index,field_of_study,education_start_year,education_end_year,current_job_title,current_job_description,current_company_name,current_company_url,current_job_industry,current_job_country,current_job_location,current_job_start_date,previous_job_title,previous_job_description,previous_company_name,total_experience_years,Skills,total_experience_count
external_validation_index_1,Consultant: Data Science,Washington,District of Columbia,United States,Knowledge Management Specialist,Usfalcon,2019,Master of Science,Analytics (MS) [Online],Analytics,1,Master of Science in Analytics,2017,2019,Consultant: Data Science,NA,Kearney & Company,https://www.kearneyco.com/,Accounting,United States,NA,2022-12-01T00:00:00Z,Knowledge Management Specialist,NA,USfalcon,15.3,"Public Policy, Public Health, Community Health, Health Education, Health Promotion, Health Communication, Community Outreach, Clinical Research, Global Health, Research, Data Analysis, Grants",10
external_validation_index_2,Digital Tranformation Consultant,Unknown,Unknown,Unknown,Consultant,World Bank,2020,Master of Business Admin,Business Administration (MBA),Business Administration,2,Master of Business Administration - MBA,0,0,Digital Tranformation Consultant,NA,The World Bank,http://www.worldbank.org,International Trade and Development,United States,"Washington, DC",2023-03-01T00:00:00Z,Senior Strategy Analyst,NA,Accenture,9.6,"Business Strategy, Digital Development, Analytical Skills, Report Writing, Government, Regional Strategy, Strategic Partnerships, Policy Analysis, International Development, Public Speaking, Strategy, Public Relations, Data Analysis, Project Management, Team Management, Teamwork",7
external_validation_index_3,Sr. SEC Reporting Analyst,Chicago,Illinois,United States,Sr. SEC Reporting Analyst,Axon,2020,Master of Science,Accounting (MS),Accounting,3,"Master's degree, Accounting",2018,2020,Sr. SEC Reporting Analyst,NA,Axon,http://www.axon.com,Public Safety,United States,"Scottsdale, Arizona, United States",2024-08-01T00:00:00Z,Audit and Assurance Project Integrator Senior,NA,Deloitte,10.6,"Helping Clients, Team Management, Team Leadership, Relationship Development, Leading Discussions, Income Statements, Due Diligence, Constructive Feedback, Skilled Multi-tasker, Excel Modeling, Problem Solving, Budget Management, Process Auditing, Walkthroughs, Business Control, Internal and External Communications, Financial Calculations, Financial Statement Analysis, External Communications, Journal Entry Review",12
external_validation_index_4,Mba Marketing Intern,Romeoville,Illinois,United States,Mba Marketing Intern,AARP Innovation Labs,2020,Master of Business Admin,Business Administration (MBA),Business Administration,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_5,Research Associate,Bogotá,Unknown,Colombia,Unknown,Unknown,2020,Master of Science,Analytics (MS),Analytics,5,"Master's degree, International Economics: Quantitative Methods",2023,2025,Research Associate,NA,EFI Foundation,https://efifoundation.org/,Non-profit Organizations,United States,Washington DC-Baltimore Area,2026-01-01T00:00:00Z,Data Analyst (Short Term Contract),NA,International Monetary Fund,10.3,"Power Purchase Agreements, Budget Tracking, Research Skills, Data Analysis, Web-based Research, Attention to Detail, Renewable Energy Markets, International Relations, Critical Thinking, Communication, Analytical Skills, Regulatory Affairs, Political Science, Large-scale Data Processing, Microsoft Excel, Large-scale Data Analysis, Government Regulations, Environmental Policy, Market Analysis, Legislative Relations",21
external_validation_index_6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,Master of Business Admin,Business Administration (MBA),Business Administration,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_7,Project Coordinator,Durham,North Carolina,United States,Project Specialist/Vendor Project Manager,SYNEOS HEALTH,2019,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,7,"Master of Business Administration - MBA, Business Administration and Management, General",2016,2019,Project Coordinator,"• Managed end-to-end vendor relationships supporting clinical and operational projects, ensuring vendors met contractual deliverables, quality standards, and project timelines across cross-functional programs.
• Monitored vendor performance, project milestones, and service-level agreements (SLAs), proactively identifying risks and implementing corrective actions to maintain on-time project delivery.
• Coordinated vendor onboarding, service agreements, and equipment procurement activities, supporting operational readiness and ensuring compliance with company procurement and quality processes.
• Served as the primary liaison between internal stakeholders (Clinical Operations, QA, Regulatory, and Program Management) and external vendors, communicating project status, risks, and dependencies to ensure alignment.
• Facilitated regular vendor review and evaluation sessions to assess performance, gather feedback, and drive continuous improvement in vendor service delivery.
• Maintained comprehensive documentation of vendor activities, project progress, and performance metrics to support operational transparency and audit readiness.
• Supported multiple concurrent vendor-supported initiatives, ensuring projects remained on schedule and aligned with program objectives.",Zoetis (via Adecco),NA,NA,United States,NA,2023-10-01T00:00:00Z,Project Specialist,"• Managed vendor technology implementation supporting global clinical trials across multiple sponsors, coordinating activities between CRO teams, technology vendors, and sponsors.
• Served as the primary point of contact for vendor management activities across clinical technology platforms including EDC and CTMS systems.
• Oversaw vendor system implementation including business requirements development, user acceptance testing (UAT), system integrations, and production monitoring.
• upported bid defense meetings by presenting vendor technology capabilities, functionality, and implementation strategies to sponsors.
• Coordinated vendor contracts, financial tracking, invoicing processes, and budget oversight throughout the project lifecycle.
• Maintained regulatory-compliant documentation and ensured accurate filing within the Trial Master File (TMF).
• Provided regular status updates to internal and sponsor teams regarding vendor implementation progress, risks, and timeline impacts.",Syneos Health,8.8,"Project Lifecycle Management, Budget Tracking, Problem Solving, Analytical Skills, Operations Management, Strategic Planning, VoIP, Telecommunications, Business Analysis, Microsoft Office, Leadership, Management, Project Management, Strategy, Switches, IP, Team Leadership, Program Management, Vendor Management, Customer Service",6
external_validation_index_8,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2020,BS in Business Administration,Business Administration: Finance (BSBA),Business Administration,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
external_validation_index_9,Senior Brand Partnerships Associate,Dubai,Unknown,United Arab Emirates,Unknown,Unknown,2019,BS in Business Administration,Business Administration: Marketing (BSBA),Business Administration,9,Marketing,2017,2019,Senior Brand Partnerships Associate,NA,Level Shoes,https://level.shoes/linkedin,Retail,United Arab Emirates,"Dubai, United Arab Emirates",2025-10-01T00:00:00Z,Junior Brand Partnership Executive,NA,Level Shoes,8.3,"Management, Employee Training, Brand Management, Public Speaking, Sales Presentations, Key Performance Indicators, Business-to-Business (B2B), Training, Interviewing, Client Relations, Search Engine Optimization (SEO), Keyword Research, Web Content Writing, Marketing Campaign Strategies, Digital Marketing, Microsoft Office, Customer Service, Microsoft Excel, Leadership, Microsoft Word",12
external_validation_index_10,"HRBP, Engineering",Wyoming,Michigan,United States,"Hrbp, Consumer Engineering",Netflix,2019,Master of Business Admin,Business Administration (MBA) [Online],Business Administration,10,"Master of Business Administration - MBA, Business Analytics",2018,2019,"HRBP, Engineering","Partnered with Engineering VPs/Directors (400+ employees) to align organizational design, workforce planning, and leadership strategies with Netflix’s consumer technology priorities.
- Influenced senior leaders on talent density and performance frameworks, optimizing team structures for innovation and scalability.
- Built executive-ready workforce analytics dashboards on headcount, attrition, and promotions, enabling proactive leadership decisions.
- Designed an I&D projection model that reshaped recruiting strategy, driving stronger representation and retention outcomes.
- Advised leaders on organizational and cultural challenges (restructuring, executive transitions, conflict resolution), strengthening team effectiveness, and organizational health.",Netflix,https://jobs.netflix.com?utm_campaign=LIHomePage&utm_source=linkedin,Entertainment Providers,United States,NA,2022-04-01T00:00:00Z,"Senior HR Partner/HR Partner, G&A","Served as strategic HR partner to executives across Security, EHS, Workplace, and Recruiting (1,100+ employees), driving organizational effectiveness and workforce strategies to support rapid global growth.
- Guided decision-making on organizational design, performance management, and total rewards to align with Tesla’s mission-driven objectives.
- Collaborated cross-functionally (ER, TA, Comp, Benefits) to design people strategies that improved retention, engagement, and alignment.
- Streamlined HR systems and processes, improving efficiency and employee experience across G&A functions.",Tesla,15.8,"Microsoft Excel, Customer Service, Employee Benefits, Human Resources, Project Management, PowerPoint, Microsoft Word, Microsoft Office, Human Resources Information Systems (HRIS), Tableau, Public Speaking, English, Leave of Absence Management, R, Data Analytics",9
